key,conf,team,2pa,3pa,rim attempts,middy attempts,total minutes,2p%,3p%,assisted 3p %,rim%,assisted rim fg%,middy fg%,assisted middy fg%,rim attempt rate,middy attempt rate,3 pt rate,transition 2p%,transition 3p%,transition midrange fg%,% of assists end w/ rim,% of assists end w/ middy,% of assists end w/ 3p,off_team_poss_value,def_team_poss_value,roster_ncaa_id,offensive rapm,defensive rapm,hoop_hgt_in,pos,exp,num,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,torvik_id,fgm,ftm,fta,ft_pct,two_m,two_a,three_m,three_a,dunk_m,dunk_a,dunk_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,recruit rank,pick,fga,fg_pct,torvik_year,torvik_hgt_in,total RAPM,stls/100,blks/100,stops/100,3pa/100,midfga/100,dunkfga/100,rimfga/100,2pa/100,weight
Jonathan Barreiro,(INTL) ACB,ZAR,2.1,,,,580.9,0.428571429,0.284,,,,,,,,0.461538462,,,,,,,,,,,,80,,,,37,580.9,15.7,3.9,0.8,2.2,3.1,0.4,,0.4,0.4,0.2,15.8,87.4,0.417,0.448,https://basketball.realgm.com/player/Jonathan-Barreiro/Summary/49148,1.4,0.7,1.1,0.61,0.9,2.1,0.5,1.8,,,,,,,113.5,,,,,,6.5,17,3.4,18.1,1.4,1.4,,,,,3.9,0.352,2019,80,,,,,,,,,,200
Jordan Sakho,(INTL) ACB,MAN,4.1,,,,423.9,0.536585366,0,,,,,,,,0,,,,,,,,,,,,82,,,,27,423.9,15.7,5.8,1.5,2,3.6,0.1,,0.111111111,0.5,0.5,17.7,110.1,0.532,0.575,https://basketball.realgm.com/player/Jordan-Sakho/Summary/107242,2.2,1.4,2.1,0.679,2.2,4.1,0,0,,,,,,,112.5,,,,,,11.5,16.9,1.7,15.6,3.3,1.7,,,,,4.1,0.532,2019,82,,,,,,,,,,220
Xabier Lopez-Arostegui,(INTL) ACB,JOV,2.5,,,,661.5,0.44,0.388,,,,,,,,0.479166667,,,,,,,,,,,,79,,,,35,661.5,18.9,5.7,0.8,1.9,2.7,0.8,,1.6,0.7,0,14.8,115.8,0.503,0.541,https://basketball.realgm.com/player/Xabier-Lopez-Arostegui/Summary/54463,2,0.8,1,0.853,1.1,2.5,0.9,2.3,,,,,,,114,,,,,,5.6,13.2,6.7,8,0,2.2,,,,,4.8,0.411,2019,79,,,,,,,,,,215
Albert Ventura,(INTL) ACB,JOV,2.6,,,,598.4,0.423076923,0.245,,,,,,,,0.365853659,,,,,,,,,,,,77,,,,32,598.4,18.7,4.8,0.7,1.5,2.2,1.5,,1.5,0.8,0.1,15.1,101.9,0.405,0.482,https://basketball.realgm.com/player/Albert-Ventura/Summary/26843,1.5,1.4,1.9,0.754,1.1,2.6,0.4,1.5,,,,,,,108,,,,,,4.4,10.4,13.8,16.9,0.5,2.5,,,,,4.1,0.359,2014,77,,,,,,,,,,180
Edy Tavares,(INTL) ACB,GCN,4.1,,,,742,0.609756098,0,,,,,,,,0.023809524,,,,,,,,,,,,87,,,,35,742,21.2,6,2.3,4.5,6.8,0.3,,0.375,0.5,1.5,13.4,122.6,0.585,0.618,https://basketball.realgm.com/player/Edy-Tavares/Summary/39662,2.5,1.1,1.5,0.722,2.5,4.1,0,0.1,,,,,,,95.7,,,,,,13.9,25.1,2.2,14.1,7.3,1.5,,,,13,4.2,0.585,2014,87,,,,,,,,,,265
Guillem Vives,(INTL) ACB,JOV,3.7,,,,952,0.567567568,0.246,,,,,,,,0.478873239,,,,,,,,,,,,75,,,,34,952,28,8.3,0.9,2.6,3.6,4.4,,2,1.1,0.6,17.5,104.8,0.467,0.506,https://basketball.realgm.com/player/Guillem-Vives/Summary/26573,2.9,1.7,2.5,0.663,2.1,3.7,0.8,3.4,,,,,,,107.9,,,,,,3.9,12.4,27.1,21,2.3,2.3,,,,,7.1,0.408,2014,75,,,,,,,,,,172
Kristaps Porzingis,(INTL) ACB,BETIS,4.6,,,,532,0.52173913,0.302,,,,,,,,0.245901639,,,,,,,,,,,,86,,,,35,532,15.2,6.9,1.1,1.7,2.8,0.3,,0.375,0.6,0.9,23.2,105,0.512,0.524,https://basketball.realgm.com/player/Kristaps-Porzingis/Summary/32861,2.9,0.6,0.9,0.625,2.4,4.6,0.5,1.5,,,,,,,104.7,,,,,,8.9,14,3.8,11.2,6,2.1,,,,4,6.1,0.474,2014,86,,,,,,,,,,240
Marcus Eriksson,(INTL) ACB,MAN,3.7,,,,788.7,0.459459459,0.375,,,,,,,,0.602150538,,,,,,,,,,,,79,,,,33,788.7,23.9,11.2,0.4,1.5,1.8,0.8,,0.888888889,0.4,0.2,21.9,114.5,0.521,0.558,https://basketball.realgm.com/player/Marcus-Eriksson/Summary/26852,3.8,1.5,1.5,0.941,1.7,3.7,2.1,5.6,,,,,,,121,,,,,,1.9,8,6.6,8.3,0.6,1,,,,20,9.3,0.409,2014,79,,,,,,,,,,178
Ondrej Balvin,(INTL) ACB,BETIS,4.1,,,,810.3,0.56097561,0,,,,,,,,0,,,,,,,,,,,,85,,,,37,810.3,21.9,5.7,2.5,3.7,6.1,0.7,,0.5,0.5,0.7,13.6,110,0.566,0.594,https://basketball.realgm.com/player/Ondrej-Balvin/Summary/27496,2.3,1.1,1.6,0.672,2.3,4.1,0,0,,,,,,,105.4,,,,,,13.9,20.8,5.6,22.7,3.3,1.2,,,,,4.1,0.566,2014,85,,,,,,,,,,215
Rafa Luz,(INTL) ACB,OBR,2.9,,,,771.8,0.482758621,0.232,,,,,,,,0.452830189,,,,,,,,,,,,75,,,,34,771.8,22.7,6.2,0.4,2.5,2.9,3.4,,1.7,1.3,0.1,17.6,97.4,0.436,0.51,https://basketball.realgm.com/player/Rafa-Luz/Summary/27992,2,1.6,1.7,0.898,1.4,2.9,0.6,2.4,,,,,,,107.5,,,,,,2.1,14.6,25.7,25.1,0.7,3.2,,,,,5.3,0.383,2014,75,,,,,,,,,,202
Rasmus Larsen,(INTL) ACB,MAN,3.2,,,,540,0.46875,0.286,,,,,,,,0.396226415,,,,,,,,,,,,83,,,,27,540,20,6.1,1.3,2.7,4,0.3,,0.1875,0.4,0.3,18.5,92.4,0.451,0.506,https://basketball.realgm.com/player/Rasmus-Larsen/Summary/27809,2.1,1.4,1.9,0.76,1.5,3.2,0.6,2.1,,,,,,,119.6,,,,,,8,17.8,2.4,20.4,1.6,1.1,,,,,5.3,0.394,2014,83,,,,,,,,,,210
Alberto Diaz,(INTL) ACB,MON,1.4,,,,703.8,0.357142857,0.318,,,,,,,,0.641025641,,,,,,,,,,,,74,,,,34,703.8,20.7,4.1,0.6,1.7,2.3,2.4,,2.181818182,1,0,12.7,102.4,0.436,0.474,https://basketball.realgm.com/player/Alberto-Diaz/Summary/27692,1.3,0.8,1.1,0.684,0.5,1.4,0.8,2.5,,,,,,,112.1,,,,,,3.7,10.2,19.8,19.5,0.1,2.8,,,,,3.9,0.333,2015,74,,,,,,,,,,187
