year,pick,player_name,profile_url
2011,27,JaJuan Johnson,https://www.basketball-reference.com/players/j/johnsja02.html
2011,28,Norris Cole,https://www.basketball-reference.com/players/c/coleno01.html
2011,29,Cory Joseph,https://www.basketball-reference.com/players/j/josepco01.html
2011,30,Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html
2011,31,Bojan Bogdanović,https://www.basketball-reference.com/players/b/bogdabo02.html
2011,32,Justin Harper,https://www.basketball-reference.com/players/h/harpeju01.html
2011,33,Kyle Singler,https://www.basketball-reference.com/players/s/singlky01.html
2011,34,Shelvin Mack,https://www.basketball-reference.com/players/m/macksh01.html
2011,35,Tyler Honeycutt,https://www.basketball-reference.com/players/h/honeyty01.html
2011,36,Jordan Williams,https://www.basketball-reference.com/players/w/willijo03.html
2011,37,Trey Thompkins,https://www.basketball-reference.com/players/t/thomptr02.html
2011,38,Chandler Parsons,https://www.basketball-reference.com/players/p/parsoch01.html
2011,39,Jeremy Tyler,https://www.basketball-reference.com/players/t/tylerje01.html
2011,40,Jon Leuer,https://www.basketball-reference.com/players/l/leuerjo01.html
2011,41,Darius Morris,https://www.basketball-reference.com/players/m/morrida01.html
2011,42,Dāvis Bertāns,https://www.basketball-reference.com/players/b/bertada01.html
2011,43,Malcolm Lee,https://www.basketball-reference.com/players/l/leema01.html
2011,44,Charles Jenkins,https://www.basketball-reference.com/players/j/jenkich01.html
2011,45,Josh Harrellson,https://www.basketball-reference.com/players/h/harrejo01.html
2011,46,Andrew Goudelock,https://www.basketball-reference.com/players/g/goudean01.html
2011,47,Travis Leslie,https://www.basketball-reference.com/players/l/leslitr01.html
2011,48,Keith Benson,https://www.basketball-reference.com/players/b/bensoke02.html
2011,49,Josh Selby,https://www.basketball-reference.com/players/s/selbyjo01.html
2011,50,Lavoy Allen,https://www.basketball-reference.com/players/a/allenla01.html
2011,51,Jon Diebler,https://www.basketball-reference.com/players/d/diebljo01.html
2011,52,Vernon Macklin,https://www.basketball-reference.com/players/m/macklve01.html
2011,53,DeAndre Liggins,https://www.basketball-reference.com/players/l/liggide01.html
2011,54,Milan Mačvan,https://www.basketball-reference.com/players/m/macvami01.html
2011,55,E'Twaun Moore,https://www.basketball-reference.com/players/m/mooreet01.html
2011,56,Chukwudiebere Maduabum,https://www.basketball-reference.com/players/m/maduach01.html
2011,57,Tanguy Ngombo,https://www.basketball-reference.com/players/n/ngombta01.html
2011,58,Ater Majok,https://www.basketball-reference.com/players/m/majokat01.html
2011,59,Ádám Hanga,https://www.basketball-reference.com/players/h/hangaad01.html
2011,60,Isaiah Thomas,https://www.basketball-reference.com/players/t/thomais02.html
2012,1,Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html
2012,2,Michael Kidd-Gilchrist,https://www.basketball-reference.com/players/k/kiddgmi01.html
2012,3,Bradley Beal,https://www.basketball-reference.com/players/b/bealbr01.html
2012,4,Dion Waiters,https://www.basketball-reference.com/players/w/waitedi01.html
2012,5,Thomas Robinson,https://www.basketball-reference.com/players/r/robinth01.html
2012,6,Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html
2012,7,Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html
2012,8,Terrence Ross,https://www.basketball-reference.com/players/r/rosste01.html
2012,9,Andre Drummond,https://www.basketball-reference.com/players/d/drumman01.html
2012,10,Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html
2012,11,Meyers Leonard,https://www.basketball-reference.com/players/l/leoname01.html
2012,12,Jeremy Lamb,https://www.basketball-reference.com/players/l/lambje01.html
2012,13,Kendall Marshall,https://www.basketball-reference.com/players/m/marshke01.html
2012,14,John Henson,https://www.basketball-reference.com/players/h/hensojo01.html
2012,15,Maurice Harkless,https://www.basketball-reference.com/players/h/harklma01.html
2012,16,Royce White,https://www.basketball-reference.com/players/w/whitero03.html
2012,17,Tyler Zeller,https://www.basketball-reference.com/players/z/zellety01.html
2012,18,Terrence Jones,https://www.basketball-reference.com/players/j/joneste01.html
2012,19,Andrew Nicholson,https://www.basketball-reference.com/players/n/nichoan01.html
2012,20,Evan Fournier,https://www.basketball-reference.com/players/f/fournev01.html
2012,21,Jared Sullinger,https://www.basketball-reference.com/players/s/sullija01.html
2012,22,Fab Melo,https://www.basketball-reference.com/players/m/melofa01.html
2012,23,John Jenkins,https://www.basketball-reference.com/players/j/jenkijo01.html
2012,24,Jared Cunningham,https://www.basketball-reference.com/players/c/cunnija01.html
2012,25,Tony Wroten,https://www.basketball-reference.com/players/w/wroteto01.html
2012,26,Miles Plumlee,https://www.basketball-reference.com/players/p/plumlmi01.html
2012,27,Arnett Moultrie,https://www.basketball-reference.com/players/m/moultar01.html
2012,28,Perry Jones,https://www.basketball-reference.com/players/j/jonespe01.html
2012,29,Marquis Teague,https://www.basketball-reference.com/players/t/teaguma01.html
2012,30,Festus Ezeli,https://www.basketball-reference.com/players/e/ezelife01.html
2012,31,Jeff Taylor,https://www.basketball-reference.com/players/t/tayloje03.html
2012,32,Tomáš Satoranský,https://www.basketball-reference.com/players/s/satorto01.html
2012,33,Bernard James,https://www.basketball-reference.com/players/j/jamesbe01.html
2012,34,Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html
2012,35,Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html
2012,36,Orlando Johnson,https://www.basketball-reference.com/players/j/johnsor01.html
2012,37,Quincy Acy,https://www.basketball-reference.com/players/a/acyqu01.html
2012,38,Quincy Miller,https://www.basketball-reference.com/players/m/millequ01.html
2012,39,Khris Middleton,https://www.basketball-reference.com/players/m/middlkh01.html
2012,40,Will Barton,https://www.basketball-reference.com/players/b/bartowi01.html
2012,41,Tyshawn Taylor,https://www.basketball-reference.com/players/t/tayloty01.html
2012,42,Doron Lamb,https://www.basketball-reference.com/players/l/lambdo01.html
2012,43,Mike Scott,https://www.basketball-reference.com/players/s/scottmi01.html
2012,44,Kim English,https://www.basketball-reference.com/players/e/engliki01.html
2012,45,Justin Hamilton,https://www.basketball-reference.com/players/h/hamilju01.html
2012,46,Darius Miller,https://www.basketball-reference.com/players/m/milleda01.html
