year,pick,player_name,profile_url,career_ast_pct,career_stl_pct,career_blk_pct,career_bpm,career_obpm,career_dbpm,career_vorp,career_ws,career_ws48,career_per,career_ts_pct,career_usg_pct
2009,43,Marcus Thornton,https://www.basketball-reference.com/players/t/thornma01.html,9.7,6.8,10.1,1.4,20.0,0.085,-1.2,14.5,5.5,135.0,11299.0,0.4
2009,44,Chase Budinger,https://www.basketball-reference.com/players/b/budinch01.html,14.5,8.8,9.4,0.1,13.9,0.083,-0.7,8.2,5.7,50.0,7998.0,0.6
2009,45,Nick Calathes,https://www.basketball-reference.com/players/c/calatni01.html,11.7,7.0,26.5,-2.8,2.6,0.063,2.3,-0.5,3.1,7.0,2011.0,0.5
2009,46,Danny Green,https://www.basketball-reference.com/players/g/greenda02.html,12.2,7.6,8.6,0.3,49.3,0.113,1.5,17.0,32.3,709.0,20899.0,2.4
2009,47,Henk Norel,https://www.basketball-reference.com/players/n/norelhe01.html,,,,,,,,,,,,
2009,48,Taylor Griffin,https://www.basketball-reference.com/players/g/griffta01.html,6.7,3.5,4.3,-6.2,0.0,-0.039,-1.9,0.0,0.0,0.0,32.0,4.4
2009,49,Sergiy Gladyr,https://www.basketball-reference.com/players/g/gladyse01.html,,,,,,,,,,,,
2009,50,Goran Suton,https://www.basketball-reference.com/players/s/sutongo01.html,,,,,,,,,,,,
2009,51,Jack McClinton,https://www.basketball-reference.com/players/m/mcclija01.html,,,,,,,,,,,,
2009,52,A.J. Price,https://www.basketball-reference.com/players/p/priceaj01.html,8.7,5.3,23.6,-0.6,4.7,0.058,-0.6,1.2,3.5,25.0,3929.0,0.2
2009,53,Nando De Colo,https://www.basketball-reference.com/players/d/decolna01.html,13.5,8.6,21.0,-2.0,2.4,0.081,1.2,0.3,2.1,9.0,1414.0,0.6
2009,54,Robert Vaden,https://www.basketball-reference.com/players/v/vadenro01.html,,,,,,,,,,,,
2009,55,Patty Mills,https://www.basketball-reference.com/players/m/millspa02.html,,,,,,,,,,,,
2009,56,Ahmad Nivins,https://www.basketball-reference.com/players/n/nivinah01.html,,,,,,,,,,,,
2009,57,Emir Preldžić,https://www.basketball-reference.com/players/p/preldem01.html,,,,,,,,,,,,
2009,58,Lester Hudson,https://www.basketball-reference.com/players/h/hudsole01.html,12.0,7.5,20.4,-1.8,0.2,0.016,-0.3,-0.3,0.5,0.0,594.0,1.0
