name,name_lower,status,pick,college,br_profile_url,draft_year
"Pritchard, Payton","pritchard, payton",drafted,26.0,Oregon,https://www.basketball-reference.com/players/p/pritcpa01.html,2020
"Thybulle, Matisse","thybulle, matisse",drafted,20.0,Washington,https://www.basketball-reference.com/players/t/thybuma01.html,2019
"Bey, Saddiq","bey, saddiq",drafted,19.0,Villanova,https://www.basketball-reference.com/players/b/beysa01.html,2020
"Quickley, Immanuel","quickley, immanuel",drafted,25.0,Kentucky,https://www.basketball-reference.com/players/q/quickim01.html,2020
"Richards, Nick","richards, nick",drafted,42.0,Kentucky,https://www.basketball-reference.com/players/r/richani01.html,2020
"Horton-Tucker, Talen","horton-tucker, talen",drafted,46.0,Iowa St.,https://www.basketball-reference.com/players/h/hortota01.html,2019
"Reddish, Cam","reddish, cam",drafted,11.0,Duke,https://www.basketball-reference.com/players/r/reddica01.html,2019
"Woodard II, Robert","woodard ii, robert",drafted,40.0,Mississippi St.,https://www.basketball-reference.com/players/w/woodaro01.html,2020
"Little, Nassir","little, nassir",drafted,25.0,North Carolina,https://www.basketball-reference.com/players/l/littlna01.html,2019
"McDaniels, Jalen","mcdaniels, jalen",drafted,52.0,San Diego St.,https://www.basketball-reference.com/players/m/mcdanja01.html,2019
"Reed, Paul","reed, paul",drafted,58.0,DePaul,https://www.basketball-reference.com/players/r/reedpa01.html,2020
"Okpala, KZ","okpala, kz",drafted,29.0,Stanford,https://www.basketball-reference.com/players/o/okpalkz01.html,2019
"Porter Jr., Kevin","porter jr., kevin",drafted,30.0,USC,https://www.basketball-reference.com/players/p/porteke02.html,2019
"Agbaji, Ochai","agbaji, ochai",drafted,14.0,Kansas,https://www.basketball-reference.com/players/a/agbajoc01.html,2022
"Dosunmu, Ayo","dosunmu, ayo",drafted,38.0,Illinois,https://www.basketball-reference.com/players/d/dosunay01.html,2021
"Jones, Herbert","jones, herbert",drafted,35.0,Alabama,https://www.basketball-reference.com/players/j/joneshe01.html,2021
"Roby, Isaiah","roby, isaiah",drafted,35.0,Nebraska,https://www.basketball-reference.com/players/r/robyis01.html,2019
"Zegarowski, Marcus","zegarowski, marcus",drafted,49.0,Creighton,https://www.basketball-reference.com/players/z/zegarma01.html,2021
"Williams, Vince","williams, vince",drafted,47.0,VCU,,
"Mamukelashvili, Sandro","mamukelashvili, sandro",drafted,54.0,Seton Hall,https://www.basketball-reference.com/players/m/mamuksa01.html,2021
"Miller, Jordan","miller, jordan",drafted,48.0,George Mason,https://www.basketball-reference.com/players/m/millejo02.html,2023
"Oturu, Daniel","oturu, daniel",drafted,33.0,Minnesota,https://www.basketball-reference.com/players/o/oturuda01.html,2020
"Hands, Jaylen","hands, jaylen",drafted,56.0,UCLA,https://www.basketball-reference.com/players/h/handsja01.html,2019
"Sims, Jericho","sims, jericho",drafted,58.0,Texas,https://www.basketball-reference.com/players/s/simsje01.html,2021
"Lee, Saben","lee, saben",drafted,38.0,Vanderbilt,https://www.basketball-reference.com/players/l/leesa01.html,2020
"Nesmith, Aaron","nesmith, aaron",drafted,14.0,Vanderbilt,https://www.basketball-reference.com/players/n/nesmiaa01.html,2020
"Elleby, CJ","elleby, cj",drafted,46.0,Washington St.,https://www.basketball-reference.com/players/e/ellebcj01.html,2020
"Grimes, Quentin","grimes, quentin",drafted,25.0,Kansas,https://www.basketball-reference.com/players/g/grimequ01.html,2021
"Martin, Tyrese","martin, tyrese",drafted,51.0,Rhode Island,https://www.basketball-reference.com/players/m/martity01.html,2022
"Azubuike, Udoka","azubuike, udoka",drafted,27.0,Kansas,https://www.basketball-reference.com/players/a/azubuud01.html,2020
"Carey, Vernon","carey, vernon",drafted,32.0,Duke,,
"Vassell, Devin","vassell, devin",drafted,11.0,Florida St.,https://www.basketball-reference.com/players/v/vassede01.html,2020
"Flynn, Malachi","flynn, malachi",drafted,29.0,San Diego St.,https://www.basketball-reference.com/players/f/flynnma01.html,2020
"McBride, Miles","mcbride, miles",drafted,36.0,West Virginia,https://www.basketball-reference.com/players/m/mcbrimi01.html,2021
"Nnaji, Zeke","nnaji, zeke",drafted,22.0,Arizona,https://www.basketball-reference.com/players/n/nnajize01.html,2020
"Stewart, Isaiah","stewart, isaiah",drafted,16.0,Washington,https://www.basketball-reference.com/players/s/stewais01.html,2020
"Okongwu, Onyeka","okongwu, onyeka",drafted,6.0,USC,https://www.basketball-reference.com/players/o/okongon01.html,2020
"Mannion, Nico","mannion, nico",drafted,48.0,Arizona,https://www.basketball-reference.com/players/m/mannini01.html,2020
"Okoro, Isaac","okoro, isaac",drafted,5.0,Auburn,https://www.basketball-reference.com/players/o/okorois01.html,2020
"Petrusev, Filip","petrusev, filip",drafted,50.0,Gonzaga,https://www.basketball-reference.com/players/p/petrufi01.html,2021
"Anthony, Cole","anthony, cole",drafted,15.0,North Carolina,https://www.basketball-reference.com/players/a/anthoco01.html,2020
"Williams, Patrick","williams, patrick",drafted,4.0,Florida St.,https://www.basketball-reference.com/players/w/willipa01.html,2020
"Mitchell, Davion","mitchell, davion",drafted,9.0,Baylor,https://www.basketball-reference.com/players/m/mitchda01.html,2021
"Green, Josh","green, josh",drafted,18.0,Arizona,https://www.basketball-reference.com/players/g/greenjo02.html,2020
"Jackson-Davis, Trayce","jackson-davis, trayce",drafted,57.0,Indiana,https://www.basketball-reference.com/players/j/jackstr02.html,2023
"Hyland, Nah'Shon","hyland, nah'shon",drafted,26.0,VCU,,
"Ramsey, Jahmi'us","ramsey, jahmi'us",drafted,43.0,Texas Tech,https://www.basketball-reference.com/players/r/ramseja01.html,2020
"Achiuwa, Precious","achiuwa, precious",drafted,20.0,Memphis,https://www.basketball-reference.com/players/a/achiupr01.html,2020
"Robinson-Earl, Jeremiah","robinson-earl, jeremiah",drafted,32.0,Villanova,https://www.basketball-reference.com/players/r/robinje02.html,2021
"Braun, Christian","braun, christian",drafted,21.0,Kansas,https://www.basketball-reference.com/players/b/braunch01.html,2022
"Duarte, Chris","duarte, chris",drafted,13.0,Oregon,https://www.basketball-reference.com/players/d/duartch01.html,2021
